epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1328.05,1.38591,2.35708,1.13575,0.29011,0.41542,0.26696,0.17537,1.11393,1.83709,1.02803,0.000276962,0.000276962,0.000276962
2,2641.27,1.25891,1.81933,1.08866,0.39388,0.41225,0.30043,0.20748,1.07399,1.724,1.03133,0.000543647,0.000543647,0.000543647
3,3956.81,1.23412,1.70868,1.07745,0.30157,0.48783,0.33109,0.22961,1.04361,1.58537,1.00863,0.000799336,0.000799336,0.000799336
4,5317.01,1.18682,1.61022,1.05517,0.30724,0.4924,0.34758,0.25345,1.02906,1.54229,1.00653,0.00078352,0.00078352,0.00078352
5,6672.61,1.1777,1.52832,1.05539,0.39498,0.45353,0.39744,0.2897,0.99253,1.4733,0.99239,0.000767026,0.000767026,0.000767026
6,7950.77,1.14891,1.44861,1.0467,0.53877,0.49116,0.46343,0.33939,0.97029,1.31898,0.97914,0.000750533,0.000750533,0.000750533
7,9227.76,1.13167,1.38708,1.04317,0.46974,0.4707,0.46899,0.34099,0.95621,1.27745,0.97835,0.00073404,0.00073404,0.00073404
8,10511.1,1.1209,1.32397,1.0328,0.40542,0.62324,0.51287,0.38609,0.92817,1.16447,0.96646,0.000717546,0.000717546,0.000717546
